Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 2488
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 2/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 3/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 4/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 5/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 6/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 7/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 8/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 9/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 10/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 11/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 12/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 13/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 14/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 15/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 16/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 17/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 18/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 19/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 20/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 21/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 22/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 23/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 24/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 25/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 26/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 27/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 28/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 29/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 30/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 31/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 32/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 33/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 34/1000] Treinando... F1-base = 78.0822% | Acc = 90.5605%
[Run 35/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 36/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 37/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 38/1000] Treinando... F1-base = 78.9474% | Acc = 90.5605%
[Run 39/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 40/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 41/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 42/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 43/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 44/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 45/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 46/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 47/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 48/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 49/1000] Treinando... F1-base = 72.4832% | Acc = 87.9056%
[Run 50/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 51/1000] Treinando... F1-base = 73.3333% | Acc = 88.2006%
[Run 52/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 53/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 54/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 55/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 56/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 57/1000] Treinando... F1-base = 76.6234% | Acc = 89.3805%
[Run 58/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 59/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 60/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 61/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 62/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 63/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 64/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 65/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 66/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 67/1000] Treinando... F1-base = 79.7297% | Acc = 91.1504%
[Run 68/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 69/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 70/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 71/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 72/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 73/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 74/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 75/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 76/1000] Treinando... F1-base = 79.1946% | Acc = 90.8555%
[Run 77/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 78/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 79/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 80/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 81/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 82/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 83/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 84/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 85/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 86/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 87/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 88/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 89/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 90/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 91/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 92/1000] Treinando... F1-base = 78.3784% | Acc = 90.5605%
[Run 93/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 94/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 95/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 96/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 97/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 98/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 99/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 100/1000] Treinando... F1-base = 72.1088% | Acc = 87.9056%
[Run 101/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 102/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 103/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 104/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 105/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 106/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 107/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 108/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 109/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 110/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 111/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 112/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 113/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 114/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 115/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 116/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 117/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 118/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 119/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 120/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 121/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 122/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 123/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 124/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 125/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 126/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 127/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 128/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 129/1000] Treinando... F1-base = 78.3784% | Acc = 90.5605%
[Run 130/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 131/1000] Treinando... F1-base = 77.1242% | Acc = 89.6755%
[Run 132/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 133/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 134/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 135/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 136/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 137/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 138/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 139/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 140/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 141/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 142/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 143/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 144/1000] Treinando... F1-base = 75.8621% | Acc = 89.6755%
[Run 145/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 146/1000] Treinando... F1-base = 76.3158% | Acc = 89.3805%
[Run 147/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 148/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 149/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 150/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 151/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 152/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 153/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 154/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 155/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 156/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 157/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 158/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 159/1000] Treinando... F1-base = 78.6667% | Acc = 90.5605%
[Run 160/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 161/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 162/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 163/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 164/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 165/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 166/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 167/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 168/1000] Treinando... F1-base = 77.6316% | Acc = 89.9705%
[Run 169/1000] Treinando... F1-base = 77.2414% | Acc = 90.2655%
[Run 170/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 171/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 172/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 173/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 174/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 175/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 176/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 177/1000] Treinando... F1-base = 78.1457% | Acc = 90.2655%
[Run 178/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 179/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 180/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 181/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
