Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 3110
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 73.2026% | Acc = 87.9056%
[Run 2/1000] Treinando... F1-base = 75.4967% | Acc = 89.0855%
[Run 3/1000] Treinando... F1-base = 74.026% | Acc = 88.2006%
[Run 4/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 5/1000] Treinando... F1-base = 75.3247% | Acc = 88.7906%
[Run 6/1000] Treinando... F1-base = 73.0769% | Acc = 87.6106%
[Run 7/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 8/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 9/1000] Treinando... F1-base = 73.8854% | Acc = 87.9056%
[Run 10/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 11/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
[Run 12/1000] Treinando... F1-base = 73.8255% | Acc = 88.4956%
[Run 13/1000] Treinando... F1-base = 73.2026% | Acc = 87.9056%
[Run 14/1000] Treinando... F1-base = 71.6216% | Acc = 87.6106%
[Run 15/1000] Treinando... F1-base = 73.2026% | Acc = 87.9056%
[Run 16/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 17/1000] Treinando... F1-base = 75.817% | Acc = 89.0855%
[Run 18/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 19/1000] Treinando... F1-base = 75.3247% | Acc = 88.7906%
[Run 20/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 21/1000] Treinando... F1-base = 75.817% | Acc = 89.0855%
[Run 22/1000] Treinando... F1-base = 73.6842% | Acc = 88.2006%
[Run 23/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 24/1000] Treinando... F1-base = 75.3247% | Acc = 88.7906%
[Run 25/1000] Treinando... F1-base = 74.1722% | Acc = 88.4956%
[Run 26/1000] Treinando... F1-base = 74.5098% | Acc = 88.4956%
