Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 2274
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 2/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 3/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 4/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 5/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 6/1000] Treinando... F1-base = 76.5101% | Acc = 89.6755%
[Run 7/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 8/1000] Treinando... F1-base = 73.6111% | Acc = 88.7906%
[Run 9/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 10/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 11/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 12/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 13/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 14/1000] Treinando... F1-base = 72.2222% | Acc = 88.2006%
[Run 15/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 16/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 17/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 18/1000] Treinando... F1-base = 75.3425% | Acc = 89.3805%
[Run 19/1000] Treinando... F1-base = 74.1259% | Acc = 89.0855%
[Run 20/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 21/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 22/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 23/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 24/1000] Treinando... F1-base = 77.551% | Acc = 90.2655%
[Run 25/1000] Treinando... F1-base = 74.1259% | Acc = 89.0855%
[Run 26/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 27/1000] Treinando... F1-base = 72.3404% | Acc = 88.4956%
[Run 28/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 29/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 30/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 31/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 32/1000] Treinando... F1-base = 73.1034% | Acc = 88.4956%
[Run 33/1000] Treinando... F1-base = 77.027% | Acc = 89.9705%
[Run 34/1000] Treinando... F1-base = 77.3333% | Acc = 89.9705%
[Run 35/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 36/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 37/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 38/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 39/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 40/1000] Treinando... F1-base = 74.1259% | Acc = 89.0855%
[Run 41/1000] Treinando... F1-base = 76.8212% | Acc = 89.6755%
[Run 42/1000] Treinando... F1-base = 71.3287% | Acc = 87.9056%
