Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 3554
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 72.5% | Acc = 87.0206%
[Run 2/1000] Treinando... F1-base = 75.4717% | Acc = 88.4956%
[Run 3/1000] Treinando... F1-base = 73.8854% | Acc = 87.9056%
[Run 4/1000] Treinando... F1-base = 74.8387% | Acc = 88.4956%
[Run 5/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 6/1000] Treinando... F1-base = 72.6115% | Acc = 87.3156%
[Run 7/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 8/1000] Treinando... F1-base = 73.1707% | Acc = 87.0206%
[Run 9/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 10/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 11/1000] Treinando... F1-base = 75% | Acc = 88.2006%
[Run 12/1000] Treinando... F1-base = 71.6981% | Acc = 86.7257%
[Run 13/1000] Treinando... F1-base = 75% | Acc = 88.2006%
[Run 14/1000] Treinando... F1-base = 73.0769% | Acc = 87.6106%
[Run 15/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
[Run 16/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
[Run 17/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
[Run 18/1000] Treinando... F1-base = 74.359% | Acc = 88.2006%
[Run 19/1000] Treinando... F1-base = 74.0741% | Acc = 87.6106%
[Run 20/1000] Treinando... F1-base = 73.8854% | Acc = 87.9056%
[Run 21/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 22/1000] Treinando... F1-base = 74.5342% | Acc = 87.9056%
[Run 23/1000] Treinando... F1-base = 75% | Acc = 88.2006%
[Run 24/1000] Treinando... F1-base = 71.6981% | Acc = 86.7257%
[Run 25/1000] Treinando... F1-base = 74.359% | Acc = 88.2006%
[Run 26/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 27/1000] Treinando... F1-base = 75.641% | Acc = 88.7906%
[Run 28/1000] Treinando... F1-base = 72.956% | Acc = 87.3156%
[Run 29/1000] Treinando... F1-base = 72.1519% | Acc = 87.0206%
[Run 30/1000] Treinando... F1-base = 75.1592% | Acc = 88.4956%
[Run 31/1000] Treinando... F1-base = 74.359% | Acc = 88.2006%
[Run 32/1000] Treinando... F1-base = 72.3926% | Acc = 86.7257%
[Run 33/1000] Treinando... F1-base = 72.956% | Acc = 87.3156%
[Run 34/1000] Treinando... F1-base = 74.0741% | Acc = 87.6106%
[Run 35/1000] Treinando... F1-base = 72.6115% | Acc = 87.3156%
[Run 36/1000] Treinando... F1-base = 75.7764% | Acc = 88.4956%
[Run 37/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
[Run 38/1000] Treinando... F1-base = 72.1519% | Acc = 87.0206%
[Run 39/1000] Treinando... F1-base = 74.8466% | Acc = 87.9056%
[Run 40/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 41/1000] Treinando... F1-base = 72.956% | Acc = 87.3156%
[Run 42/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 43/1000] Treinando... F1-base = 70.8861% | Acc = 86.4307%
[Run 44/1000] Treinando... F1-base = 75.7764% | Acc = 88.4956%
[Run 45/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 46/1000] Treinando... F1-base = 75% | Acc = 88.2006%
[Run 47/1000] Treinando... F1-base = 71.6981% | Acc = 86.7257%
[Run 48/1000] Treinando... F1-base = 73.0769% | Acc = 87.6106%
[Run 49/1000] Treinando... F1-base = 74.2138% | Acc = 87.9056%
[Run 50/1000] Treinando... F1-base = 70.0637% | Acc = 86.1357%
[Run 51/1000] Treinando... F1-base = 75.4717% | Acc = 88.4956%
[Run 52/1000] Treinando... F1-base = 75.641% | Acc = 88.7906%
[Run 53/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 54/1000] Treinando... F1-base = 72.0497% | Acc = 86.7257%
[Run 55/1000] Treinando... F1-base = 74.6835% | Acc = 88.2006%
[Run 56/1000] Treinando... F1-base = 72.956% | Acc = 87.3156%
[Run 57/1000] Treinando... F1-base = 75.1592% | Acc = 88.4956%
[Run 58/1000] Treinando... F1-base = 72.5% | Acc = 87.0206%
[Run 59/1000] Treinando... F1-base = 74.5342% | Acc = 87.9056%
[Run 60/1000] Treinando... F1-base = 75.7764% | Acc = 88.4956%
[Run 61/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 62/1000] Treinando... F1-base = 74.2138% | Acc = 87.9056%
[Run 63/1000] Treinando... F1-base = 75.4717% | Acc = 88.4956%
[Run 64/1000] Treinando... F1-base = 72.5% | Acc = 87.0206%
[Run 65/1000] Treinando... F1-base = 72.5% | Acc = 87.0206%
[Run 66/1000] Treinando... F1-base = 74.5342% | Acc = 87.9056%
[Run 67/1000] Treinando... F1-base = 73.5484% | Acc = 87.9056%
[Run 68/1000] Treinando... F1-base = 74.8387% | Acc = 88.4956%
[Run 69/1000] Treinando... F1-base = 72.6115% | Acc = 87.3156%
[Run 70/1000] Treinando... F1-base = 74.8387% | Acc = 88.4956%
[Run 71/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
[Run 72/1000] Treinando... F1-base = 75.7764% | Acc = 88.4956%
[Run 73/1000] Treinando... F1-base = 75.1592% | Acc = 88.4956%
[Run 74/1000] Treinando... F1-base = 75.1592% | Acc = 88.4956%
[Run 75/1000] Treinando... F1-base = 74.359% | Acc = 88.2006%
[Run 76/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 77/1000] Treinando... F1-base = 71.9512% | Acc = 86.4307%
[Run 78/1000] Treinando... F1-base = 75.1592% | Acc = 88.4956%
[Run 79/1000] Treinando... F1-base = 73.75% | Acc = 87.6106%
[Run 80/1000] Treinando... F1-base = 73.4177% | Acc = 87.6106%
