Carregando dados de treinamento...
Carregando dados de validação...
Features no treinamento: 20
Amostras de treinamento: 2671
Features na validação:   20
Amostras de validação:   339

[Run 1/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 2/1000] Treinando... F1-base = 77.8523% | Acc = 90.2655%
[Run 3/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 4/1000] Treinando... F1-base = 74.1259% | Acc = 89.0855%
[Run 5/1000] Treinando... F1-base = 73.2026% | Acc = 87.9056%
[Run 6/1000] Treinando... F1-base = 74.4828% | Acc = 89.0855%
[Run 7/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 8/1000] Treinando... F1-base = 75.6757% | Acc = 89.3805%
[Run 9/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 10/1000] Treinando... F1-base = 76% | Acc = 89.3805%
[Run 11/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 12/1000] Treinando... F1-base = 76.7123% | Acc = 89.9705%
[Run 13/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 14/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 15/1000] Treinando... F1-base = 72.1088% | Acc = 87.9056%
[Run 16/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 17/1000] Treinando... F1-base = 76.1905% | Acc = 89.6755%
[Run 18/1000] Treinando... F1-base = 72% | Acc = 87.6106%
[Run 19/1000] Treinando... F1-base = 74.6667% | Acc = 88.7906%
[Run 20/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 21/1000] Treinando... F1-base = 72.2222% | Acc = 88.2006%
[Run 22/1000] Treinando... F1-base = 73.9726% | Acc = 88.7906%
[Run 23/1000] Treinando... F1-base = 74.8299% | Acc = 89.0855%
[Run 24/1000] Treinando... F1-base = 73.4694% | Acc = 88.4956%
[Run 25/1000] Treinando... F1-base = 74.3243% | Acc = 88.7906%
[Run 26/1000] Treinando... F1-base = 72.6027% | Acc = 88.2006%
[Run 27/1000] Treinando... F1-base = 75.1678% | Acc = 89.0855%
[Run 28/1000] Treinando... F1-base = 72.8477% | Acc = 87.9056%
